ano;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;registro_ocorrencias;fase
1991;58,7;;1,6;;;60,3;17,57;304,92;;;;86,59;;33,18;119,76;;7,97;45,33;19,06;2,71;;;;;10,76;334,05;;85,45;;;;330,18;602,85;;;;;14,57;;;;;;;;;;;11,39;;;;;3
1992;58,84;;2,22;;;61,06;14,72;296,62;;;;83,34;;37,07;120,41;;14,92;42,12;23,74;1,75;;;;;10,3;402,07;;80,16;;;;343,91;636,92;;;;;15,74;;;;;;;;;;;6,54;;;;;3
1993;58,72;;2,02;;;60,74;13,24;286,26;;;;74,39;;35,92;110,31;;12,94;27,68;19,82;1,71;;;;;11,31;372,34;;56,96;;;;321,63;583,19;;;;;13,3;;;;;;;;;;;6,02;;;;;3
1994;63,13;;1,67;;;64,8;13,26;268,02;;;;87,49;;35,73;123,22;;10,41;33,06;17,07;2,33;;;;;12,79;405,12;;51,93;;;;272,87;521,74;;;;;13,74;;;;;;;;;;;6,85;;;;;3
1995;62,53;;1,48;;;64,01;14,41;285,08;;;;84,34;;37,99;122,33;;8,88;28,8;12,04;3,26;;;;;14,37;365,13;;47,53;;;;234,51;444,54;;;;;26;;;;;;;;;;;8,4;;;;;3
1996;53,1;;1,21;;;54,31;14,76;301,22;;;;90,05;;40,08;130,14;;21,97;26,41;8,19;2,11;;;;;17,03;340,18;;71,57;;;;227,98;446,77;;;;;49,24;;;;;;;;;;;7,88;;;;;3
1997;49,98;;0,84;;;50,83;17;319,64;;;;97,55;;47,46;145,02;;22,11;28,01;7,22;1,13;;;;;55,82;400,64;;69,52;;;;291,21;518,36;;;;;46,12;;;;;;;;;;;2,99;;;;;3
1998;40,81;;0,92;;2,53;44,25;17,23;397,6;;29,27;;75,24;;48,01;123,25;;17,85;28,25;6,39;1;;;;;114,37;444,45;;40,53;;;;351,97;544,35;;;;;95,33;;;;;;;;;;;3,29;;;;;3
1999;41,42;0,74;1,03;43,18;2,03;45,21;17,54;436,25;;27,95;271,3;90,69;;53,83;144,52;;7,53;35,61;9,29;0,91;;;;;131,72;538,25;;37,91;;;;380,5;562,76;0;;;;62,63;;;;;;;;;269,67;;7,04;;;;2791,32;3
2000;43,65;0,55;1,39;45,59;2,96;48,55;18,34;484,58;;18,59;484,58;133,43;14,72;57,66;205,81;;23,54;37,24;9,78;1,17;;;;;107,88;577,92;;64,56;;;;425,58;613,44;0,03;;;;71,23;;;;;;;;;341,69;;7,29;;;;3002,51;3
