,ano,localizacao,rede,atu_ei,atu_ei_creche,atu_ei_pre_escola,atu_ef,atu_ef_anos_iniciais,atu_ef_anos_finais,atu_ef_1_ano,atu_ef_2_ano,atu_ef_3_ano,atu_ef_4_ano,atu_ef_5_ano,atu_ef_6_ano,atu_ef_7_ano,atu_ef_8_ano,atu_ef_9_ano,atu_ef_turmas_unif_multi_fluxo,atu_em,atu_em_1_ano,atu_em_2_ano,atu_em_3_ano,atu_em_4_ano,atu_em_nao_seriado,had_ei,had_ei_creche,had_ei_pre_escola,had_ef,had_ef_anos_iniciais,had_ef_anos_finais,had_ef_1_ano,had_ef_2_ano,had_ef_3_ano,had_ef_4_ano,had_ef_5_ano,had_ef_6_ano,had_ef_7_ano,had_ef_8_ano,had_ef_9_ano,had_em,had_em_1_ano,had_em_2_ano,had_em_3_ano,had_em_4_ano,had_em_nao_seriado,tdi_ef,tdi_ef_anos_iniciais,tdi_ef_anos_finais,tdi_ef_1_ano,tdi_ef_2_ano,tdi_ef_3_ano,tdi_ef_4_ano,tdi_ef_5_ano,tdi_ef_6_ano,tdi_ef_7_ano,tdi_ef_8_ano,tdi_ef_9_ano,tdi_em,tdi_em_1_ano,tdi_em_2_ano,tdi_em_3_ano,tdi_em_4_ano,taxa_aprovacao_ef,taxa_aprovacao_ef_anos_iniciais,taxa_aprovacao_ef_anos_finais,taxa_aprovacao_ef_1_ano,taxa_aprovacao_ef_2_ano,taxa_aprovacao_ef_3_ano,taxa_aprovacao_ef_4_ano,taxa_aprovacao_ef_5_ano,taxa_aprovacao_ef_6_ano,taxa_aprovacao_ef_7_ano,taxa_aprovacao_ef_8_ano,taxa_aprovacao_ef_9_ano,taxa_aprovacao_em,taxa_aprovacao_em_1_ano,taxa_aprovacao_em_2_ano,taxa_aprovacao_em_3_ano,taxa_aprovacao_em_4_ano,taxa_aprovacao_em_nao_seriado,taxa_reprovacao_ef,taxa_reprovacao_ef_anos_iniciais,taxa_reprovacao_ef_anos_finais,taxa_reprovacao_ef_1_ano,taxa_reprovacao_ef_2_ano,taxa_reprovacao_ef_3_ano,taxa_reprovacao_ef_4_ano,taxa_reprovacao_ef_5_ano,taxa_reprovacao_ef_6_ano,taxa_reprovacao_ef_7_ano,taxa_reprovacao_ef_8_ano,taxa_reprovacao_ef_9_ano,taxa_reprovacao_em,taxa_reprovacao_em_1_ano,taxa_reprovacao_em_2_ano,taxa_reprovacao_em_3_ano,taxa_reprovacao_em_4_ano,taxa_reprovacao_em_nao_seriado,taxa_abandono_ef,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,taxa_abandono_ef_1_ano,taxa_abandono_ef_2_ano,taxa_abandono_ef_3_ano,taxa_abandono_ef_4_ano,taxa_abandono_ef_5_ano,taxa_abandono_ef_6_ano,taxa_abandono_ef_7_ano,taxa_abandono_ef_8_ano,taxa_abandono_ef_9_ano,taxa_abandono_em,taxa_abandono_em_1_ano,taxa_abandono_em_2_ano,taxa_abandono_em_3_ano,taxa_abandono_em_4_ano,taxa_abandono_em_nao_seriado,tnr_ef,tnr_ef_anos_iniciais,tnr_ef_anos_finais,tnr_ef_1_ano,tnr_ef_2_ano,tnr_ef_3_ano,tnr_ef_4_ano,tnr_ef_5_ano,tnr_ef_6_ano,tnr_ef_7_ano,tnr_ef_8_ano,tnr_ef_9_ano,tnr_em,tnr_em_1_ano,tnr_em_2_ano,tnr_em_3_ano,tnr_em_4_ano,tnr_em_nao_seriado,dsu_ei,dsu_ei_creche,dsu_ei_pre_escola,dsu_ef,dsu_ef_anos_iniciais,dsu_ef_anos_finais,dsu_em,dsu_ep,dsu_eja,dsu_ee,afd_ei_grupo_1,afd_ei_grupo_2,afd_ei_grupo_3,afd_ei_grupo_4,afd_ei_grupo_5,afd_ef_grupo_1,afd_ef_grupo_2,afd_ef_grupo_3,afd_ef_grupo_4,afd_ef_grupo_5,afd_ef_anos_iniciais_grupo_1,afd_ef_anos_iniciais_grupo_2,afd_ef_anos_iniciais_grupo_3,afd_ef_anos_iniciais_grupo_4,afd_ef_anos_iniciais_grupo_5,afd_ef_anos_finais_grupo_1,afd_ef_anos_finais_grupo_2,afd_ef_anos_finais_grupo_3,afd_ef_anos_finais_grupo_4,afd_ef_anos_finais_grupo_5,afd_em_grupo_1,afd_em_grupo_2,afd_em_grupo_3,afd_em_grupo_4,afd_em_grupo_5,afd_eja_fundamental_grupo_1,afd_eja_fundamental_grupo_2,afd_eja_fundamental_grupo_3,afd_eja_fundamental_grupo_4,afd_eja_fundamental_grupo_5,afd_eja_medio_grupo_1,afd_eja_medio_grupo_2,afd_eja_medio_grupo_3,afd_eja_medio_grupo_4,afd_eja_medio_grupo_5,ird_baixa_regularidade,ird_media_baixa,ird_media_alta,ird_alta,ied_ef_nivel_1,ied_ef_nivel_2,ied_ef_nivel_3,ied_ef_nivel_4,ied_ef_nivel_5,ied_ef_nivel_6,ied_ef_anos_iniciais_nivel_1,ied_ef_anos_iniciais_nivel_2,ied_ef_anos_iniciais_nivel_3,ied_ef_anos_iniciais_nivel_4,ied_ef_anos_iniciais_nivel_5,ied_ef_anos_iniciais_nivel_6,ied_ef_anos_finais_nivel_1,ied_ef_anos_finais_nivel_2,ied_ef_anos_finais_nivel_3,ied_ef_anos_finais_nivel_4,ied_ef_anos_finais_nivel_5,ied_ef_anos_finais_nivel_6,ied_em_nivel_1,ied_em_nivel_2,ied_em_nivel_3,ied_em_nivel_4,ied_em_nivel_5,ied_em_nivel_6,icg_nivel_1,icg_nivel_2,icg_nivel_3,icg_nivel_4,icg_nivel_5,icg_nivel_6
9,2006,total,privada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.9,7.4,4.1,4.2,4.7,5.3,5.5,6.4,7.2,7.7,8.1,11.0,11.5,10.3,9.9,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2006,total,publica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,25.1,38.7,6.5,19.0,26.9,30.3,31.3,40.5,38.7,37.3,37.2,49.5,51.7,49.0,46.4,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2007,total,privada,13.4,12.1,14.2,20.3,17.9,24.7,15.9,17.6,18.0,18.4,19.2,24.2,24.6,24.8,25.2,15.1,29.8,29.9,29.4,30.2,20.8,32.4,,,,,,,,,,,,,,,,,,,,,,5.9,5.2,6.8,5.2,6.0,4.7,4.9,5.0,6.0,6.7,7.2,7.3,8.9,9.8,8.5,8.1,54.8,96.6,97.7,95.1,97.4,97.3,97.8,98.1,97.8,95.6,94.8,94.9,94.9,93.8,90.3,94.5,97.0,96.3,93.9,3.1,2.0,4.6,2.0,2.3,1.9,1.7,2.0,4.1,4.9,4.8,4.8,5.6,8.9,4.9,2.5,1.8,4.9,0.3,0.3,0.3,0.6,0.4,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.6,0.8,0.6,0.5,1.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2007,total,publica,20.4,18.2,21.1,26.2,24.4,30.4,21.5,23.9,24.6,25.2,25.8,31.1,30.7,30.0,29.8,18.7,35.0,36.5,34.4,33.8,29.5,30.1,,,,,,,,,,,,,,,,,,,,,,30.1,24.6,36.9,9.8,19.7,25.7,29.6,30.7,39.7,37.3,35.0,34.6,46.5,48.4,45.6,45.2,57.3,81.8,84.6,78.2,92.5,80.3,82.0,86.5,86.2,74.5,78.7,81.1,80.0,71.8,64.9,74.2,79.9,89.4,73.9,13.0,11.9,14.4,4.2,15.0,15.0,10.4,10.6,17.6,14.4,12.0,12.5,13.5,17.1,12.1,9.6,3.8,11.8,5.2,3.5,7.4,3.3,4.7,3.0,3.1,3.2,7.9,6.9,6.9,7.5,14.7,18.0,13.7,10.5,6.8,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2008,total,privada,13.3,11.9,14.2,20.2,17.7,24.9,16.2,16.9,17.8,18.5,19.0,24.5,24.9,25.1,25.3,15.2,29.8,30.0,29.3,30.4,21.5,30.9,,,,,,,,,,,,,,,,,,,,,,5.0,4.1,6.1,3.6,4.1,3.9,4.2,4.5,5.4,6.1,6.5,6.6,7.9,9.3,7.4,6.5,35.7,96.4,97.7,94.6,97.7,97.3,97.9,98.0,97.7,95.2,94.4,94.6,94.3,93.5,89.9,94.1,96.8,96.5,91.3,3.3,2.0,5.1,1.8,2.3,1.9,1.8,2.1,4.5,5.3,5.1,5.4,6.0,9.4,5.4,2.7,1.4,6.9,0.3,0.3,0.3,0.5,0.4,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.7,0.5,0.5,2.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2008,total,publica,20.1,18.0,20.9,25.9,24.3,30.2,21.3,23.4,24.5,25.3,25.9,30.6,30.4,29.8,29.7,17.7,34.3,35.6,33.7,33.3,27.6,31.8,,,,,,,,,,,,,,,,,,,,,,24.2,19.4,30.1,7.0,16.7,21.3,22.3,24.4,33.1,30.4,28.3,27.4,37.1,41.5,34.3,33.4,40.0,82.3,85.7,78.2,93.4,82.1,82.2,87.3,86.9,74.3,78.3,81.0,80.4,72.6,65.5,74.6,80.9,89.3,74.5,12.8,11.1,14.9,3.7,13.8,14.9,9.9,10.1,18.2,15.2,12.5,12.5,13.1,17.1,11.9,8.6,3.8,10.7,4.9,3.2,6.9,2.9,4.1,2.9,2.8,3.0,7.5,6.5,6.5,7.1,14.3,17.4,13.5,10.5,6.9,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2009,total,privada,13.4,11.9,14.4,20.2,17.7,24.9,16.4,17.0,17.4,18.4,19.1,24.6,24.9,25.1,25.2,13.7,29.7,30.1,29.1,30.0,20.9,28.5,,,,,,,,,,,,,,,,,,,,,,5.2,4.3,6.3,3.7,4.4,4.4,4.2,4.6,5.7,6.3,6.6,6.7,7.8,8.9,7.5,6.3,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2009,total,publica,19.8,17.8,20.6,25.5,23.8,29.7,21.2,23.0,24.0,24.9,25.7,30.1,29.9,29.3,29.2,17.6,33.7,35.2,33.0,32.4,26.4,31.2,,,,,,,,,,,,,,,,,,,,,,25.7,20.6,31.8,6.6,17.0,23.7,25.1,25.5,35.6,32.4,30.3,27.5,38.0,41.4,36.5,34.1,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2010,total,privada,13.2,11.9,14.2,20.1,17.6,24.9,16.7,17.0,17.4,17.8,18.9,24.6,24.8,25.2,25.3,13.4,29.5,30.2,28.8,29.7,21.7,27.0,5.9,7.3,5.1,4.5,4.4,4.8,4.3,4.4,4.4,4.4,4.4,4.7,4.7,4.8,4.8,5.2,5.2,5.2,5.3,4.4,4.4,5.2,4.3,6.5,3.4,4.1,4.6,4.7,4.6,5.7,6.6,6.8,6.9,7.8,8.9,7.4,6.4,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,9.2,7.9,9.3,9.1,8.8,9.2,9.5,8.3,8.0,7.7,7.7,6.9,7.4,7.1,6.2,6.3,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2010,total,publica,19.2,17.5,20.0,25.0,23.4,29.2,21.1,22.4,23.6,24.3,25.2,29.6,29.3,28.8,28.8,17.3,32.9,34.4,32.3,31.5,25.2,28.3,5.6,8.1,4.6,4.5,4.4,4.6,4.4,4.4,4.4,4.4,4.4,4.6,4.6,4.6,4.6,4.5,4.6,4.5,4.4,4.5,5.2,26.3,20.7,32.7,5.8,16.3,23.8,26.7,27.3,35.7,33.9,31.4,28.5,38.1,41.3,36.1,35.1,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.6,2.8,2.9,2.7,2.6,2.4,2.2,2.9,2.8,2.8,2.9,3.2,3.6,3.2,2.6,1.4,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
