ano,sigla_uf,localizacao,rede,taxa_reprovacao_em,taxa_reprovacao_ef,had_ef,had_em
2006,AM,total,total,,,,
2006,RO,total,total,,,,
2006,TO,total,total,,,,
2006,SC,total,total,,,,
2006,SE,total,total,,,,
2006,RR,total,total,,,,
2006,SP,total,total,,,,
2006,PR,total,total,,,,
2006,RS,total,total,,,,
2006,RN,total,total,,,,
2006,PI,total,total,,,,
2006,MS,total,total,,,,
2006,PE,total,total,,,,
2006,RJ,total,total,,,,
2006,PA,total,total,,,,
2006,AL,total,total,,,,
2006,BA,total,total,,,,
2006,DF,total,total,,,,
2006,AP,total,total,,,,
2006,PB,total,total,,,,
2006,GO,total,total,,,,
2006,CE,total,total,,,,
2006,AC,total,total,,,,
2006,ES,total,total,,,,
2006,MA,total,total,,,,
2006,MT,total,total,,,,
2006,MG,total,total,,,,
2007,SE,total,total,10.2,20.5,,
2007,SC,total,total,9.1,8.9,,
2007,RS,total,total,19.0,14.0,,
2007,RR,total,total,11.6,11.8,,
2007,RJ,total,total,18.7,13.1,,
2007,PE,total,total,7.9,16.1,,
2007,PA,total,total,16.7,18.7,,
2007,TO,total,total,8.2,9.4,,
2007,PB,total,total,8.3,15.6,,
2007,SP,total,total,15.0,6.5,,
2007,PR,total,total,11.3,10.3,,
2007,GO,total,total,10.5,8.5,,
2007,RO,total,total,12.4,14.2,,
2007,PI,total,total,9.7,16.9,,
2007,AP,total,total,10.4,14.4,,
2007,ES,total,total,10.3,11.4,,
2007,MG,total,total,12.4,10.9,,
2007,AM,total,total,10.9,14.4,,
2007,MS,total,total,14.4,14.8,,
2007,BA,total,total,11.4,18.0,,
2007,CE,total,total,8.6,11.4,,
2007,DF,total,total,20.9,14.4,,
2007,AL,total,total,8.4,15.2,,
2007,AC,total,total,9.2,12.0,,
2007,MA,total,total,7.5,11.2,,
2007,MT,total,total,8.8,7.9,,
2007,RN,total,total,7.5,16.1,,
2008,SP,total,total,13.7,5.8,,
2008,CE,total,total,7.7,11.2,,
2008,PB,total,total,8.9,15.2,,
2008,AC,total,total,7.9,11.1,,
2008,PR,total,total,11.5,9.9,,
2008,SE,total,total,16.2,23.4,,
2008,AP,total,total,12.1,13.8,,
2008,DF,total,total,13.0,8.9,,
2008,PA,total,total,9.8,17.4,,
2008,MA,total,total,7.5,11.2,,
2008,ES,total,total,10.9,11.9,,
2008,GO,total,total,11.4,9.0,,
2008,SC,total,total,8.9,8.4,,
2008,MT,total,total,9.4,7.2,,
2008,AL,total,total,8.8,13.0,,
2008,RS,total,total,19.6,14.4,,
2008,RR,total,total,11.8,11.1,,
2008,AM,total,total,11.3,13.8,,
2008,RJ,total,total,19.4,13.9,,
2008,MG,total,total,12.1,10.7,,
2008,RN,total,total,8.2,16.4,,
2008,PI,total,total,8.8,16.4,,
2008,BA,total,total,12.2,18.1,,
2008,PE,total,total,8.9,15.2,,
2008,TO,total,total,8.5,9.7,,
2008,MS,total,total,15.8,15.2,,
2008,RO,total,total,12.1,14.8,,
2009,MT,total,total,11.6,4.9,,
2009,GO,total,total,13.3,9.1,,
2009,CE,total,total,7.1,9.5,,
2009,MA,total,total,7.7,10.0,,
2009,ES,total,total,14.5,11.8,,
2009,MS,total,total,16.5,15.4,,
2009,RN,total,total,8.0,16.2,,
2009,AM,total,total,9.2,13.8,,
2009,SP,total,total,14.4,5.3,,
2009,AL,total,total,9.7,13.4,,
2009,BA,total,total,11.8,17.1,,
2009,DF,total,total,16.1,9.7,,
2009,RO,total,total,12.3,14.5,,
2009,SC,total,total,9.5,8.1,,
2009,PA,total,total,11.2,14.8,,
2009,PE,total,total,9.0,13.3,,
2009,PI,total,total,8.5,14.4,,
2009,RS,total,total,20.0,14.6,,
2009,TO,total,total,10.1,8.8,,
2009,RR,total,total,10.6,9.4,,
2009,SE,total,total,14.8,21.2,,
2009,MG,total,total,12.3,9.6,,
2009,PB,total,total,8.1,14.7,,
2009,AP,total,total,11.9,13.2,,
2009,AC,total,total,8.0,9.2,,
2009,PR,total,total,11.1,8.8,,
2009,RJ,total,total,19.6,16.0,,
2010,MS,total,total,17.9,15.5,4.3,4.5
2010,PR,total,total,11.7,9.2,4.3,4.4
2010,DF,total,total,18.6,10.1,4.9,5.0
2010,RJ,total,total,18.9,15.0,4.7,5.4
2010,MT,total,total,17.2,4.0,4.1,4.2
2010,AL,total,total,10.4,14.3,4.3,4.5
2010,SC,total,total,10.4,6.1,4.1,4.0
2010,CE,total,total,7.2,8.7,4.1,4.4
2010,PB,total,total,8.3,14.1,4.3,4.4
2010,RN,total,total,6.6,15.3,4.4,4.1
2010,MG,total,total,13.4,8.4,4.4,4.4
2010,BA,total,total,12.4,15.7,4.3,4.8
2010,AM,total,total,8.1,12.2,4.2,4.2
2010,GO,total,total,12.2,8.7,4.5,4.6
2010,PE,total,total,8.7,11.7,4.3,4.4
2010,RR,total,total,10.9,8.9,4.3,4.3
2010,TO,total,total,9.9,9.2,4.5,4.5
2010,SP,total,total,12.6,4.9,5.1,4.8
2010,PI,total,total,9.2,13.2,4.2,4.5
2010,RO,total,total,11.8,14.5,4.3,4.4
2010,AP,total,total,11.1,10.8,4.3,4.6
2010,ES,total,total,13.7,10.3,4.7,5.0
2010,PA,total,total,11.9,12.1,4.2,4.2
2010,SE,total,total,14.1,20.7,4.4,4.6
2010,RS,total,total,19.9,14.2,4.2,4.3
2010,MA,total,total,8.5,9.2,4.2,4.3
2010,AC,total,total,8.6,8.7,4.2,4.2
2011,AM,total,total,6.0,10.2,4.2,4.2
2011,RR,total,total,13.2,9.3,4.3,4.4
2011,MG,total,total,12.6,7.3,4.4,4.4
2011,BA,total,total,14.9,15.0,4.3,4.8
2011,MA,total,total,9.1,8.9,4.2,4.4
2011,DF,total,total,18.5,10.8,4.9,5.1
2011,CE,total,total,6.7,7.8,4.1,4.6
2011,SE,total,total,13.7,19.5,4.4,4.6
2011,TO,total,total,10.4,9.1,4.6,4.5
2011,MS,total,total,17.1,14.1,4.3,4.5
2011,MT,total,total,18.2,3.6,4.1,4.2
2011,AC,total,total,8.5,7.9,4.2,4.2
2011,PB,total,total,7.7,11.9,4.3,4.4
2011,SP,total,total,13.9,4.9,5.1,4.8
